DBRECORDID,TITLE,ABSTRACT,LANGUAGE,MESH,CHEM
M7857456,"['Licensed midwife-attended, out-of-hospital births in Washington state: are they safe?']","['The safety of out-of-hospital births attended by midwives who are licensed according to international standards has not been established in the United States. To address this issue, outcomes of births attended out of hospital by licensed midwives in Washington state were compared with those attended by physicians and certified nurse-midwives in hospital and certified nurse-midwives out of hospital between 1981 and 1990. Outcomes measured included low birthweight, low five-minute Apgar scores, and neonatal and postneonatal mortality. Associations between attendant and outcomes were measured using odds ratios to estimate relative risks. Multivariate analysis using logistic regression controlled for confounding variables. Overall, births attended by licensed midwives out of hospital had a significantly lower risk for low birthweight than those attended in hospital by certified nurse-midwives, but no significant differences were found between licensed midwives and any of the comparison groups on any other outcomes measured. When the analysis was limited to low-risk women, certified nurse-midwives were no more likely to deliver low-birthweight infants than were licensed midwives, but births attended by physicians had a higher risk of low birthweight. The results of this study indicate that in Washington state the practice of licensed nonnurse-midwives, whose training meets standards set by international professional organizations, may be as safe as that of physicians in hospital and certified nurse-midwives in and out of hospital.']",['eng'],"['Adult', 'Certification', 'Female', 'Home Childbirth/standards', 'Home Childbirth/statistics & numerical data', 'Humans', 'Licensure, Nursing', 'Logistic Models', 'Nurse Midwives/standards', 'Pregnancy', 'Pregnancy Outcome/epidemiology', 'Washington/epidemiology']",
M7865258,['Factors adversely associated with breast feeding in New Zealand.'],"[""Control data from 1529 infants studied in a multicentre case-control study of sudden infant death in New Zealand were analysed to identify factors that might hinder the establishment and duration of breast feeding. Although 1300 infants (85%) were exclusively breast-fed at discharge from the obstetric hospital, this fell to 940 (61%) by 4 weeks. Logistic regression was used to identify factors that might adversely influence breast feeding 'at discharge', 'at 4 weeks' and the overall 'duration' of breast feeding. When adjusted for confounding factors, not exclusive breast feeding 'at discharge' was significantly associated with: twin pregnancy, being a Pacific Islander, mother not bedsharing, subsequent dummy use, birthweight less than 2500 g, heavy maternal smoking, not attending antenatal classes and mother less than 20 years old at first pregnancy. Mothers smoking more than 20 cigarettes a day were nearly twice as likely to not exclusively breast feed on discharge compared to those who did not smoke. A 'dose response' was apparent with the heaviest smokers having the least likelihood of establishing exclusive breast feeding. Being exclusively breast-fed at discharge but not 'at 4 weeks' was associated with: twin pregnancy, admission to a neonatal intensive care unit, subsequent dummy use and not being married. A shorter overall 'duration' of breast feeding was associated with maternal smoking, subsequent dummy use, mother not bedsharing, twin pregnancy, mother less than 20 years old at first pregnancy, low occupational status and not attending antenatal classes. These effects persisted when social and demographic factors, including birthweight, were taken into account.(ABSTRACT TRUNCATED AT 250 WORDS)""]",['eng'],"['Adult', 'Breast Feeding', 'Case-Control Studies', 'Female', 'Humans', 'Logistic Models', 'Male', 'New Zealand', 'Patient Discharge', 'Risk Factors', 'Smoking/adverse effects', 'Time Factors']",
M7868707,['The parent-infant bonding controversy: a critique of the critics.'],,['eng'],"['Breast Feeding', 'Female', 'Humans', 'Infant', 'Infant, Newborn', 'Male', 'Maternal Behavior', 'Object Attachment', 'Parent-Child Relations', 'Personality Development']",
M7869547,['The quality of quality-of-life measurements.'],,['eng'],"['Humans', 'Quality of Life', 'Reference Standards']",
M7869548,['The quality of quality-of-life measurements.'],,['eng'],"['Humans', 'Quality of Life', 'Reference Standards']",
M7869549,['The quality of quality-of-life measurements.'],,['eng'],"['Humans', 'Quality of Life', 'Reference Standards']",
M7870603,['Breast cancer. Role of the research nurse.'],"['The research nurse in the breast cancer genetics field is a relatively new specialism. This paper explores the role of such a post, including the care of patients at clinics for women at high risk of developing breast cancer.']",['eng'],"['Breast Neoplasms/nursing', 'Clinical Nursing Research', 'Female', 'Humans']",
M7883600,['Coordinating a multidisciplinary discharge for the technology-dependent child based on parental needs.'],"['Primary nurses, case managers, and clinical nurse specialists in pediatric settings are continually providing care for chronically ill children. With our advancing medical knowledge and technology, the concept of chronically ill children has taken on an added dimension: technology-assisted living. Technology-dependent children pose the greatest challenge for discharge into the home environment. This article identifies the chronically ill technology-dependent child and family and their needs in order to develop a chronologic plan for a successful multidisciplinary discharge.']",['eng'],"['Activities of Daily Living', 'Child', 'Chronic Disease/nursing', 'Health Services Needs and Demand', 'Humans', 'Medical Laboratory Science', 'Parents', 'Patient Care Team', 'Patient Discharge']",
M7891260,['Promotion of preterm infant nipple feeding with nonnutritive sucking.'],"['Transition of preterm infants from enteral to nipple feeding is a necessary milestone for hospital discharge. This study tested the efficacy of one potential intervention to facilitate the transition process. Ten minutes of nonnutritive sucking (NNS) and a control condition were administered randomly before first nipple feedings. The sample consisted of 20 preterm infants (gestational ages 27-33 weeks, M = 31.6, SD = 1.7; birth weights 931-2, 140 g, M = 1,649, SD = 373) who served as their own controls. NNS resulted in fewer behavioral state changes during feedings and produced quiet, awake states more frequently during feedings. Heart rates did not differ between feedings following NNS compared with those in the control condition.']",['eng'],"['Clinical Nursing Research', 'Energy Intake', 'Enteral Nutrition', 'Feeding Behavior/physiology', 'Gestational Age', 'Heart Rate', 'Humans', 'Infant, Newborn', 'Infant, Premature/physiology', 'Sampling Studies', 'Sucking Behavior/physiology']",
M7899490,['Craniosacral therapy.'],,['eng'],"['Central Nervous System/physiology', 'Humans', 'Models, Neurological', 'Osteopathic Medicine', 'Periodicity']",
