DBRECORDID,TITLE,ABSTRACT,LANGUAGE,MESH,CHEM
M10756688,['Vegetarismus gestern und morgen.'],,['ger'],"['Diet Therapy/trends', 'Diet, Vegetarian', 'Europe', 'Forecasting', 'Humans', 'United States']",
M10762106,['Ebola haemorrhagic fever--a review.'],,['eng'],"['Animals', 'Disease Outbreaks', 'Disease Reservoirs', 'Ebolavirus/isolation & purification', 'Hemorrhagic Fever, Ebola/epidemiology', 'Hemorrhagic Fever, Ebola/therapy', 'Hemorrhagic Fever, Ebola/transmission', 'Hemorrhagic Fever, Ebola/virology', 'Humans']",
M10766533,['Spontanfraktur bei chronischer Cholestase. Hepatische Osteopathie durch Vitamin-D-Mangel.'],,['ger'],"['Cholestasis, Intrahepatic/complications', 'Cholestasis, Intrahepatic/diagnosis', 'Female', 'Femoral Neck Fractures/diagnosis', 'Femoral Neck Fractures/etiology', 'Humans', 'Liver Cirrhosis, Biliary/complications', 'Liver Cirrhosis, Biliary/diagnosis', 'Middle Aged', 'Osteomalacia/diagnosis', 'Osteomalacia/etiology', 'Osteoporosis/diagnosis', 'Osteoporosis/etiology', 'Risk Factors', 'Vitamin D Deficiency/diagnosis', 'Vitamin D Deficiency/etiology']",
M10770334,['Reforming the borderline personality diagnosis.'],,['eng'],"['Borderline Personality Disorder/classification', 'Borderline Personality Disorder/diagnosis', 'Humans']",
M10773964,['Pyogenic arthritis in adults.'],"['Septic arthritis has shown no change in incidence, and despite advances in antimicrobial therapy is often responsible for residual functional impairment and for a high mortality rate among debilitated patients. Risk factors include older age, diabetes mellitus, rheumatoid arthritis, immunodeficiency, and a preexisting joint disease (e.g., rheumatoid arthritis) to which the symptoms of septic arthritis are sometimes ascribed. Staphylococcus aureus contributes over two-thirds of identified organisms; a range of streptococci and gram-negative bacilli are next in frequency. The most common site is the knee, followed by the hip and shoulder. Over 10% of patients have polyarticular involvement reflecting bacteremia and diminished resistance to infection; (over 50% of polyarticular forms occur in rheumatoid arthritis patients). Prosthetic joint infection is becoming increasingly common; chronic forms due to intraoperative contamination and resulting in septic loosening should be distinguished from acute hematogenous infection in which emergency treatment can allow to salvage the prosthesis. Demonstration of the organism in the joint is the key to the diagnosis. Joint aspiration should be performed on an emergency basis, if needed after identification of radiographic landmarks or under ultrasonographic guidance. Seeding the fluid on blood culture flasks immediately after aspiration increases the yield. Antibiotics should be started as soon as the microbiological specimens have been collected. When aspiration is difficult (hip) or inadequate, arthroscopic drainage usually makes arthrotomy unnecessary. Early antiinflammatory therapy (nonsteroidal antiinflammatory drugs, systemic or local glucocorticoids, anticytokines, and antiinflammatory cytokines) are being considered as tools for limiting joint damage; their efficacy and safety will first have to be established in animal studies.']",['eng'],"['Adult', 'Arthritis, Infectious/epidemiology', 'Arthritis, Infectious/microbiology', 'Arthritis, Infectious/physiopathology', 'Arthritis, Infectious/therapy', 'Female', 'France/epidemiology', 'Humans', 'Joints/microbiology', 'Joints/physiopathology', 'Male', 'Middle Aged', 'Risk Factors', 'Staphylococcal Infections/epidemiology', 'Staphylococcal Infections/microbiology', 'Staphylococcal Infections/physiopathology', 'Staphylococcus aureus/isolation & purification']",
M10774956,['Laboratory screening for erythropoietin abuse in sport: an emerging challenge.'],"['The growing diffusion of banned practice to improve the athletic performances is forcing clinical laboratories to identify and standardize reliable assays to detect potential unfairness. Among the doping practices, the use of recombinant human erythropoietin is becoming fairly popular, due to simplicity and safeties of administration and troublesome detection. The heterogeneous response rate, the presence of a little but significant amount of naturally occurring hormone, the short half-life exhibited by recombinant human erythropoietin and the lack of standardization of commercial assays appear the main problems to overcome. Aim of the present article is to provide a critical review of some of the more widespread laboratory techniques currently available for the screening for erythropoietin abuse in sport.']",['eng'],"['Doping in Sports', 'Erythropoietin/analysis', 'Erythropoietin/blood', 'Erythropoietin/urine', 'Hematocrit', 'Hemoglobins/metabolism', 'Humans', 'Receptors, Transferrin/metabolism', 'Recombinant Proteins', 'Reticulocytes/metabolism', 'Substance Abuse Detection/trends']","['Hemoglobins', 'Receptors, Transferrin', 'Recombinant Proteins', 'Erythropoietin (11096-26-7)']"
M10776219,['The use of aromatherapy in wound care.'],,['eng'],"['Aromatherapy/methods', 'Aromatherapy/nursing', 'Evidence-Based Medicine', 'Humans', 'Treatment Outcome', 'Wound Healing', 'Wounds and Injuries/nursing', 'Wounds and Injuries/physiopathology']",
M10776429,['Positive end-expiratory pressure and response to inhaled nitric oxide: changing nonresponders to responders.'],"['Background!#!Inhaled nitric oxide (INO) has been shown to improve oxygenation in two thirds of patients with acute respiratory distress syndrome (ARDS). Failure to respond to INO is multifactorial. We hypothesized that the addition of positive end expiratory pressure (PEEP) might modify the response to INO in patients who had previously failed to respond to INO.!##!Methods!#!Patients with ARDS who failed to respond to INO at 1 ppm (PaO2 increase of < 20%) were selected. Each patient underwent a PEEP trial using an improvement in static lung compliance as the end point. One hour after the new PEEP level was reached, hemodynamic and blood gas values were obtained. INO was then reinstituted at 1 ppm, and hemodynamic and blood gas variables were obtained 1 hour later.!##!Results!#!Six of nine patients demonstrated an increase in PaO2/FIO2 (161 +/- 27 to 186 +/- 29) with a mean increase in PEEP of 3.7 cm H2O. Each patient responding to PEEP further improved PaO2/FIO2 (186 +/- 29 to 223 +/- 36) with INO at 1 ppm. The three patients who failed to improve after the PEEP increase also failed to respond to a second trial of INO. There were no changes in cardiac output or systemic vascular resistance. Pulmonary artery pressures decreased slightly (39 +/- 5 vs 38 +/- 7 vs 35 +/- 9 mm Hg). Pulmonary vascular resistance decreased significantly after reintroduction of INO (298 +/- 131 vs 310 +/- 122 vs 249 +/- 105 dynes/sec/cm-5) in patients who responded positively.!##!Conclusions!#!The response of ARDS patients to INO can be improved if optimum alveolar recruitment is achieved by the addition of PEEP. PEEP and INO have a synergistic effect on PaO2/FIO2. Patients who fail to respond to INO may benefit from an optimum PEEP trial.']",['eng'],"['Administration, Inhalation', 'Adult', 'Aged', 'Blood Pressure', 'Bronchodilator Agents/administration & dosage', 'Bronchodilator Agents/therapeutic use', 'Combined Modality Therapy', 'Female', 'Humans', 'Lung Compliance', 'Male', 'Middle Aged', 'Nitric Oxide/administration & dosage', 'Nitric Oxide/therapeutic use', 'Oxygen/blood', 'Positive-Pressure Respiration', 'Pulmonary Artery/physiopathology', 'Respiratory Distress Syndrome, Adult/etiology', 'Respiratory Distress Syndrome, Adult/physiopathology', 'Respiratory Distress Syndrome, Adult/therapy', 'Vascular Resistance']","['Bronchodilator Agents', 'Nitric Oxide (31C4KY9ESH)', 'Oxygen (S88TT14065)']"
M10776787,['HIV-1 gp41: role in HIV entry and prevention.'],,['eng'],"['Animals', 'HIV Envelope Protein gp41/immunology', 'HIV Envelope Protein gp41/metabolism', 'HIV Envelope Protein gp41/physiology', 'HIV Infections/immunology', 'HIV Infections/prevention & control', 'HIV-1/immunology', 'HIV-1/metabolism', 'HIV-1/pathogenicity', 'Humans', 'Receptors, HIV/metabolism']","['HIV Envelope Protein gp41', 'Receptors, HIV']"
M10778334,['Rygsmerter.'],,['dan'],"['Back Pain/diagnosis', 'Back Pain/surgery', 'Humans', 'Low Back Pain/diagnosis', 'Low Back Pain/surgery']",
