DBRECORDID,TITLE,ABSTRACT,LANGUAGE,MESH,CHEM
M14680523,['The telemedicine curriculum.'],,['eng'],"['Curriculum', 'Education, Professional', 'Humans', 'Medical Informatics/education', 'Telemedicine']",
M14685818,['Laboratory skills: mechanics and other hands-on skills.'],,['eng'],,
M14693307,"['Metabolism, excretion, and pharmacokinetics of rosuvastatin in healthy adult male volunteers.']","['Background!#!Rosuvastatin is a 3-hydroxy-3-methylglutaryl coenzyme A-reductase inhibitor, or statin, that has been developed for the treatment of dyslipidemia.!##!Objective!#!This study assessed the metabolism, excretion, and pharmacokinetics of a single oral dose of radiolabeled rosuvastatin ([14C]-rosuvastatin) in healthy volunteers.!##!Methods!#!This was a nonrandomized, open-label, single-day trial. Healthy adult male volunteers were given a single oral dose of [14C]-rosuvastatin 20 mg (20 mL [14C]-rosuvastatin solution, nominally containing 50 microCi radioactivity). Blood, urine, and fecal samples were collected up to 10 days after dosing. Tolerability assessments were made up to 10 days after dosing (trial completion) and at a follow-up visit within 14 days of trial completion.!##!Results!#!Six white male volunteers aged 36 to 52 years (mean, 43.7 years) participated in the trial. The geometric mean peak plasma concentration (C(max)) of rosuvastatin was 6.06 ng/mL and was reached at a median of 5 hours after dosing. At C(max), rosuvastatin accounted for approximately 50% of the circulating radioactive material. Approximately 90% of the rosuvastatin dose was recovered in feces, with the remainder recovered in urine. The majority of the dose (approximately 70%) was recovered within 72 hours after dosing; excretion was complete by 10 days after dosing. Metabolite profiles in feces indicated that rosuvastatin was excreted largely unchanged (76.8% of the dose). Two metabolites-rosuvastatin-5S-lactone and N-desmethyl rosuvastatin-were present in excreta. [14C]-rosuvastatin was well tolerated; 2 volunteers reported 4 mild adverse events that resolved without treatment.!##!Conclusions!#!The majority of the rosuvastatin dose was excreted unchanged. Given the absolute bioavailability (20%) and estimated absorption (approximately 50%) of rosuvastatin, this finding suggests that metabolism is a minor route of clearance for this agent.']",['eng'],"['Adult', 'Area Under Curve', 'Biological Availability', 'Carbon Isotopes', 'Chromatography, High Pressure Liquid', 'Fluorobenzenes/blood', 'Fluorobenzenes/pharmacokinetics', 'Fluorobenzenes/urine', 'Half-Life', 'Humans', 'Hydroxymethylglutaryl-CoA Reductase Inhibitors/blood', 'Hydroxymethylglutaryl-CoA Reductase Inhibitors/pharmacology', 'Hydroxymethylglutaryl-CoA Reductase Inhibitors/urine', 'Male', 'Metabolic Clearance Rate', 'Middle Aged', 'Pyrimidines/blood', 'Pyrimidines/pharmacokinetics', 'Pyrimidines/urine', 'Rosuvastatin Calcium', 'Sulfonamides/blood', 'Sulfonamides/pharmacokinetics', 'Sulfonamides/urine']","['Carbon Isotopes', 'Fluorobenzenes', 'Hydroxymethylglutaryl-CoA Reductase Inhibitors', 'Pyrimidines', 'Sulfonamides', 'Rosuvastatin Calcium (83MVU38M7Q)']"
M14694918,['The oral-to-intravenous equianalgesic ratio of morphine based on plasma concentrations of morphine and metabolites in advanced cancer patients receiving chronic morphine treatment.'],"['To provide additional pharmacokinetic evidence for the oral-to-parenteral relative potency ratio of 1:2 to 1:3 for chronic morphine use in a palliative care setting, we determined the plasma concentrations of morphine and its major metabolites, morphine-3-glucuronide (M3G) and morphine-6-glucuronide (M6G), in hospitalized advanced cancer patients maintained on long-term oral or intravenous morphine. There were significant linear correlations between daily doses of morphine and plasma concentrations (molar base) of morphine, M3G and M6G for both routes of administration. The oral-to-intravenous relative ratios of the regression coefficients were 2.9 for morphine and 1.8 for morphine + M6G. The morphine kinetic variables were not significantly influenced by any hepato-renal biochemical markers. These results support the commonly used oral-to-intravenous relative potency ratio of 1:2 to 1:3 in patients with cancer pain receiving chronic morphine treatment.']",['eng'],"['Administration, Oral', 'Aged', 'Analgesics, Opioid/administration & dosage', 'Analgesics, Opioid/blood', 'Chronic Disease', 'Dose-Response Relationship, Drug', 'Female', 'Humans', 'Infusions, Parenteral', 'Injections, Intravenous', 'Male', 'Middle Aged', 'Morphine/administration & dosage', 'Morphine/blood', 'Morphine Derivatives/blood', 'Neoplasms/blood', 'Neoplasms/complications', 'Pain/blood', 'Pain/drug therapy', 'Pain/etiology', 'Palliative Care']","['Analgesics, Opioid', 'Morphine Derivatives', 'morphine-6-glucuronide (64Y9KYM60R)', 'Morphine (76I7G6D29C)', 'morphine-3-glucuronide (O27Z9CH39A)']"
M14698831,['Familial risk among Japanese patients with endometriosis.'],"['Objectives!#!This study was designed to examine the prevalence of endometriosis among female siblings of patients with endometriosis in Japan.!##!Methods!#!A total of 339 patients with endometriosis were questioned about endometriosis in their sisters. The control group consisted of 284 Japanese healthy fertile women with no history of endometriosis. Similarly, the controls were interviewed about their sisters.!##!Results!#!We detected sisters with endometriosis in 8.8% of cases and 1.5% of the control population. The relative risk of endometriosis in female siblings was 5.7. However, a significant difference was not seen in age at diagnosis and clinical stage between patients with or without a family history of endometriosis.!##!Conclusions!#!These data demonstrate a familial tendency for endometriosis and suggest that endometriosis has a genetic factor in the pathogenesis.']",['eng'],"['Adolescent', 'Adult', 'Case-Control Studies', 'Endometriosis/epidemiology', 'Endometriosis/genetics', 'Female', 'Genetic Predisposition to Disease/epidemiology', 'Humans', 'Japan/epidemiology', 'Middle Aged', 'Prevalence', 'Risk Factors', 'Siblings', 'Surveys and Questionnaires']",
M14699840,['Anorexia nervosa.'],,['ger'],"['Anorexia Nervosa/diagnosis', 'Anorexia Nervosa/epidemiology', 'Anorexia Nervosa/mortality', 'Anorexia Nervosa/psychology', 'Anorexia Nervosa/therapy', 'Diagnosis, Differential', 'Female', 'Hospitalization', 'Humans', 'Male', 'Psychotherapy', 'Self-Help Groups', 'Sex Factors', 'Weight Loss']",
M14702824,"[""Les infections de l'appareil urinaire dans MEDLINE.""]",,['fre'],"['MEDLINE', 'Subject Headings', 'Urinary Tract Infections']",
M14719718,['Psychological aspects of interventional therapy.'],"['This discussion is not, nor could it hope to be, an exhaustive examination of all of the various interventional therapies. Instead, it is intended to highlight the potential contribution of psychosocial factors. These factors may vary to some degree or another depending on the specific procedure, but clearly play a role whenever the desired outcome involves a reduction in subjective pain, alteration in the adaptiveness with which the patient responds to the experience of pain, and quality of life. Many notables, including Dr. Michael Cousins, have echoed the importance of incorporating interventional therapies into an interdisciplinary approach. Yet, there seems to be a preponderance of ""block shops"". Even when used for diagnostic or prognostic purposes, the impact of psychosocial variables and the potential relevance of a meaningful behavioral or psychologic evaluation cannot be overstated. It is easy to understand how the reader might conclude that immersing oneself in the minutiae of all these variables could lead to a feeling of intellectual paralysis when it comes to evaluating the data and arriving at a conclusion or diagnosis. However, ignoring these psychosocial variables and their complex interaction does not constitute a solution. This is particularly true in considering discography where, depending on the criteria applied, the percent of ""false positives"" can vary from 0% to as much as 40%. The implication for the performing of ""unnecessary"" spine surgery is obvious. The thoughtful practitioner will be mindful of the role of psychosocial variables in so far as they are thought to be relevant in a particular case. The overall contribution of psychosocial variables to the application of interventional therapies for the diagnosis and treatment of pain can be overlooked and ignored, but not denied. A certain percentage of patients will respond in a predictable, desirable or positive fashion purely on a statistical basis. Historically, and there seems to be no reason to believe this will change in the immediate future, the degree to which the psychosocial variables are considered is left up to the interventionalist. Some are content to perform a directed procedure or therapy concerned only, and sometimes to a less than sufficient degree, with the technical adequacy of the procedure. Others will appreciate the role of human factors including those of the practitioner and patient alike, and strive not only for a statistically derived outcome but the best possible outcome for a given patient. Psychosocial factors can sometimes take on the character of ""nuisance variables"". However, it is hard not to wonder how much care each would want to have given to these factors if one were on the other end of the needle.']",['eng'],"['Disease Management', 'Female', 'Humans', 'Male', 'Pain/classification', 'Pain/psychology', 'Pain Management']",
M14724546,['Intertrigo résistant aux traitements.'],,['fre'],"['Drug Resistance', 'Erythema/drug therapy', 'Erythema/pathology', 'Female', 'Humans', 'Intertrigo/drug therapy', 'Intertrigo/pathology', 'Middle Aged']",
M14740565,['[Active involvement of pharmacists in initial treatments for acute poisoning and overdosed patients in the intensive care unit].'],"['We have developed guidelines of pharmaceutical activity which describes how pharmacists are actively involved in supporting the initial treatment of poisoning and overdosed patients in the Intensive Care Unit (ICU). These guidelines are derived from the original procedural manual that consisted of protocol charts. The charts provide the pharmacist including ICU staff members with directions for the collection of clinical information and the forms to use for documentation. We focused on appropriate collection and proper preservation of collected samples in order to perform diagnostic analysis when needed. The original Information Record Form, completed by the participating pharmacist, documents all information regarding the patient\'s care. This record provides for integration of the diverse and complicated clinical information of the patient so that the physician can gain a comprehensive picture of the patient. The guidelines, manual book, materials for sample collection and the Information Record Form are stored in a container called the ""Poisoning Aid Set"", which will be available in the ICU. The guidelines are activated once an emergency call from paramedics is received regarding a suspected poisoning patient. According to the guidelines, the emergency room (ER) physician immediately contacts the pharmacist who will provide his professional services as a member of the treatment team. We have applied these guidelines to 29 poisoning patients and have critically evaluated for effectiveness. Early participation by pharmacists, by reviewing timely, accurate and competent clinical information enabled the pharmacist to identify the suspected drug from the biological samples obtained. From our experiences, we conclude that this active involvement of pharmacist in the initial treatment of poisoning and overdosed patients in the ICU was both supportive and beneficial to the patient. In addition, the participation of pharmacist as a member of a treatment team provided an excellent opportunity to collaborate with the entire ICU staff members.']",['jpn'],"['Acute Disease', 'Adult', 'Drug Information Services', 'Drug Overdose/diagnosis', 'Drug Overdose/therapy', 'Female', 'Humans', 'Infant', 'Male', 'Patient Care Team', 'Pharmacists', 'Poisoning/diagnosis', 'Poisoning/therapy', 'Practice Guidelines as Topic']",
