DBRECORDID,TITLE,ABSTRACT,LANGUAGE,MESH,CHEM
M17558577,['Initial psychometrics of the ambiance scale: a tool to study person-environment interaction in dementia.'],"[""Our purpose was to evaluate the psychometric properties of the Ambiance Scale (AS), a new instrument that assesses the capacity of long-term care environments for generating affective and behavioural responses in people with dementia. Within the context of three parent studies of dementia-related behaviour in long-term care settings, we conducted a cross-sectional correlational study by creating two separate samples of ratings from among all those available. Factor analysis revealed a two-factor structure (engaging, soothing) for the AS. Internal consistency and evaluation of inter- and intra-rater reliability were favourable. A consistent pattern of ratings on the AS and its subscales, moderate subscale correlations, and significant differences between facility types: nursing homes (NH) vs assisted living facilities (ALF) and among selected locations (residents' rooms, dining rooms, halls) within facility types support construct validity of the scale.""]",['eng'],"['Arkansas', 'Assisted Living Facilities', 'Dementia', 'Humans', 'Michigan', 'Nursing Homes', 'Psychometrics/instrumentation', 'Social Environment']",
M17575619,['Bibliography. Current world literature. Food allergy.'],,['eng'],"['Food Hypersensitivity/epidemiology', 'Food Hypersensitivity/etiology', 'Food Hypersensitivity/psychology', 'Humans']",
M17576277,"['Lip-read me now, hear me better later: cross-modal transfer of talker-familiarity effects.']","['There is evidence that for both auditory and visual speech perception, familiarity with the talker facilitates speech recognition. Explanations of these effects have concentrated on the retention of talker information specific to each of these modalities. It could be, however, that some amodal, talker-specific articulatory-style information facilitates speech perception in both modalities. If this is true, then experience with a talker in one modality should facilitate perception of speech from that talker in the other modality. In a test of this prediction, subjects were given about 1 hr of experience lipreading a talker and were then asked to recover speech in noise from either this same talker or a different talker. Results revealed that subjects who lip-read and heard speech from the same talker performed better on the speech-in-noise task than did subjects who lip-read from one talker and then heard speech from a different talker.']",['eng'],"['Acoustic Stimulation/methods', 'Female', 'Humans', 'Lipreading', 'Male', 'Recognition (Psychology)/physiology', 'Speech/physiology', 'Speech Perception/physiology', 'Students/psychology', 'Task Performance and Analysis', 'Transfer (Psychology)/physiology']",
M17582991,['[Relationship between lifestyle and subjective symptoms in a food products company].'],"['Although the relationship between lifestyle and subjective symptoms has been reported in the general population, relatively few studies have looked at the link between these two in workplace. To investigate the relationship between lifestyle and subjective symptoms, a cross-sectional study was carried out using data from 4,540 workers aged 20-69 years old in a food products company. The subjective symptoms with a prevalence of more than 10% in either males or females were selected as dependent variables: fatigue, dropsical swelling of hands or feet, stiff neck or shoulders, backpain, deterioration of eye sight, dizziness, diarrhea and constipation. We used a multiple logistic regression model to calculate the odds ratio(OR) and 95% confidence interval(CI) for each subjective symptom according to lifestyle: regular physical activity, proper sleeping, nine hours or less of work, having breakfast, having a nutritionally balanced diet, no smoking and moderate drinking of alcohol. We adjusted for age and type of occupation by gender. The findings confirmed the relationship between smoking and alcohol drinking and subjective symptoms in both genders. In addition, proper sleeping was likely to prevent musculoskeletal symptoms in females.']",['jpn'],"['Adult', 'Aged', 'Cross-Sectional Studies', 'Food-Processing Industry', 'Health Status', 'Humans', 'Japan', 'Life Style', 'Middle Aged', 'Pain']",
M17584822,['Endometriosis: cost estimates and methodological perspective.'],"[""This article aims to provide a systematic review of estimates and methodology of studies quantifying the costs of endometriosis. Included studies were cost-of-illness analyses quantifying the economic impact of endometriosis and cost analyses calculating diagnostic and treatment costs of endometriosis. Annual healthcare costs and costs of productivity loss associated with endometriosis have been estimated at $2801 and $1023 per patient, respectively. Extrapolating these findings to the US population, this study calculated that annual costs of endometriosis attained $22 billion in 2002 assuming a 10% prevalence rate among women of reproductive age. These costs are considerably higher than those related to Crohn's disease or to migraine. To date, it is not possible to determine whether a medical approach is less expensive than a surgical approach to treating endometriosis in patients presenting with chronic pelvic pain. Evidence of endometriosis costs in infertile patients is largely lacking. Cost estimates were biased due to the absence of a control group of patients without endometriosis, inadequate consideration of endometriosis recurrence and restricted scope of costs. There is a need for more and better-designed studies that carry out longitudinal analyses of patients until the cessation of their symptoms or that model the chronic nature of endometriosis.""]",['eng'],"['Cost of Illness', 'Endometriosis/economics', 'Endometriosis/epidemiology', 'Endometriosis/therapy', 'Female', 'Humans', 'Prevalence', 'United States/epidemiology']",
M17592994,['Prognostication in dementia #150.'],,['eng'],"['Dementia/diagnosis', 'Dementia/physiopathology', 'Dementia/therapy', 'Humans', 'Prognosis', 'United States']",
M17596113,"['Vernakalant: RSD 1235, RSD-1235, RSD1235.']","[""Vernakalant is an atrial-selective antiarrhythmic drug discovered by Cardiome Pharma (formerly Nortran Pharmaceuticals). Vernakalant may have potential in the treatment of atrial arrhythmias, including acute atrial fibrillation and atrial flutter. Vernakalant is a mixed sodium/potassium channel blocker and selectively blocks ion channels in the heart that are known to be active during episodes of atrial fibrillation. An IV formulation of vernakalant is awaiting registration in the US for the acute conversion of atrial fibrillation. Also, an oral formulation of the compound is in phase II clinical development as a chronic-use product for the maintenance of normal heart rhythm following termination of atrial fibrillation. Cardiome is seeking co-development partners for intravenous vernakalant in the treatment of atrial arrhythmia, atrial fibrillation and atrial flutter in Europe and Japan. In October 2003, Cardiome Pharma and Fujisawa Healthcare, the US subsidiary of Fujisawa Pharmaceutical Co., Ltd (now Astellas Pharma), executed a $US68 million strategic partnership agreement for the co-development of vernakalant. On 1 April 2005, Fujisawa merged with Yamanouchi to form Astellas Pharma. The partnership grants Astellas Pharma exclusive commercialisation rights for vernakalant. Under the terms of the agreement, Cardiome and Astellas Pharma will co-develop vernakalant as an intravenous formulation for the treatment of atrial fibrillation and atrial flutter for North American markets. Astellas Pharma will be financially responsible for 75% of all future clinical development costs, with Cardiome responsible for the remaining 25% of costs. Astellas Pharma will be responsible for the development plan, NDA application (and NDA re-submission costs) and registration, along with the commercial manufacturing, marketing and sale of vernakalant. Cardiome will manage the phase III trials ACT 1 and ACT 2 and will also be responsible for the continued manufacturing of clinical supplies of vernakalant. Cardiome will receive royalties on end-user sales of vernakalant reflective of Cardiome's 25% share of development costs and other financial considerations. Product rights to the IV formulation of vernakalant for markets outside of North America and world rights to the oral formulation of vernakalant for chronic atrial fibrillation are not included within the scope of this partnership. Cardiome intends to form future additional alliances for these product opportunities or maintain such opportunities for commercialisation on its own. Cardiome and Astellas amended their agreement for vernakalant in relation to the re-submission of the NDA with the US FDA. Under the terms of the new agreement, Astellas agreed to fund 100% of the costs associated with re-submission, including engagement and external consultants. Astellas also agreed to modify the timing of the $US10 million NDA milestone to the date of resubmission. In February 2005, Cardiome Pharma received a $US6 million milestone payment from its co-development partner, Fujisawa Healthcare Inc. This milestone payment was triggered by the successful completion of ACT 1.A pivotal phase II trial demonstrated in September 2002 that vernakalant rapidly and effectively terminated recent onset atrial fibrillation and the study met both primary and secondary study endpoints. Following discussions with the FDA, Cardiome initiated three separate phase III clinical trials in order to enable Cardiome to apply for marketing approval for vernakalant. In August 2003, Cardiome Pharma commenced patient dosing in its first phase III efficacy study of vernakalant for the acute treatment of atrial fibrillation. This initial study, called ACT 1 (Atrial fibrillation Conversion Trial 1), measured the safety and efficacy of vernakalant in 416 patients with atrial arrhythmias. The placebo-controlled study was carried out in 45 centers in the US, Canada and Scandinavia. The ACT 1 study included two substudies of 60 patients with atrial flutter and 119 patients with longer term atrial fibrillation. The primary efficacy endpoint was acute conversion of atrial arrhythmia to normal heart rhythm. Cardiome commenced its second phase III efficacy study in March 2004, known as ACT 2. The ACT 2 study in post-cardiac surgery (coronary artery bypass graft) patients with atrial fibrillation, evaluated the safety and efficacy of vernakalant (IV) in the termination of atrial arrhythmias in patients after cardiac surgery. Around 210 patients from 25 centres in the US, Canada and Europe were enrolled in this study. The primary efficacy endpoint was acute conversion of atrial arrhythmias to normal heart rhythm. The ACT 2 study is ongoing. The third phase III study, known as ACT 3 (Atrial arrhythmia Conversion Trial 3), was initiated by Cardiome Pharma in July 2004. In September 2005, Cardiome and Astellas reported that ACT 3 had been completed, achieving its primary endpoint, with over half of the 170 patients with recent-onset atrial fibrillation (AF) who received vernakalant intravenously converting to normal heart rhythm, compared with only 4% in the placebo group. The study was being conducted by co-development partner Astellas Pharma and measured the safety and efficacy of intravenous vernakalant in recent onset atrial arrhythmia patients. The placebo-controlled study was being carried out in 276 patients in more than 50 centres throughout the world.ACT 4, a phase III safety study evaluating safety of IV vernakalant in approximately 120 AF patients from 30 centres in the US, Canada and Europe, was initiated in October 2005. Results from this trial are expected to supplement trial results from the pivotal ACT 1 and 3 trials. This study is ongoing. Cardiome Pharma successfully completed phase I studies for its controlled-release oral formulation of vernakalant in 2005. The oral, controlled-release formulation of vernakalant is expected to help prevent or slow the recurrence of atrial fibrillation, and will be used as a follow-on therapy to intravenous vernakalant.""]",['eng'],"['Administration, Oral', 'Anti-Arrhythmia Agents/administration & dosage', 'Anti-Arrhythmia Agents/pharmacokinetics', 'Anti-Arrhythmia Agents/therapeutic use', 'Atrial Fibrillation/drug therapy', 'Atrial Fibrillation/prevention & control', 'Humans', 'Infusions, Intravenous', 'Potassium Channel Blockers/adverse effects', 'Potassium Channel Blockers/pharmacokinetics', 'Potassium Channel Blockers/therapeutic use', 'Randomized Controlled Trials as Topic', 'Recurrence']","['Anti-Arrhythmia Agents', 'Potassium Channel Blockers']"
M17596396,['Including a weaning predictor in the daily assessment of weaning readiness increased mechanical ventilation weaning time.'],,['eng'],,
M17622995,['An evaluation of the seminal work of Patricia Benner: theory or philosophy?'],"[""The purpose of this article is to review the seminal work of Patricia Benner, From Novice to Expert, in order to assert it as a philosophy and not a theory. In the literature there is no clear consensus on where this model stands - theory or philosophy. There is no intent to devalue Patricia Benner's work as it is valuable and has become widely used in nursing practice, research, education and administration. However, as a philosophy, Benner's interpretive work is more constructive. Appropriate use of this model requires an understanding of whether it is a theory or a philosophy, its underpinnings and an assessment of its development and testing. This can be accomplished by knowing the differences between a theory and a philosophy and by reviewing the ways of knowing and processes of reasoning which are necessary for skill acquisition. Much of the critique of Benner's work falls into two categories: it is not quantitative research and there are issues with the use of narratives. These will be reviewed. Judgment and understanding of the nature of Benner's model allows for its appropriate use in journal articles, research, or other projects and/or modification as necessary.""]",['eng'],"['Models, Theoretical', 'Nursing']",
M17624030,['Directions for national data policy for antiretroviral therapy in resource-poor settings: a focus on durable viral suppression.'],"['The rapid scale-up (that is, full implementation) of programs to provide antiretroviral therapy (ART) for HIV in resource-poor settings has become a major objective for many less-developed nations and the agencies that provide funding to them. The success and sustainability of ART programs will depend upon durable viral suppression, the long-term maintenance of the infected on first-line treatment regimes. This article considers the data policy that will be required to achieve durable viral suppression. The UNAIDS (Joint United Nations Programme on HIV/AIDS) ""Three Ones"" doctrine calls for one national health information strategy for countries that are scaling-up ART. This article provides a framework for standardizing national data policy. The need for standardization must be balanced with recognition that ART programs are still evolving and that excess standardization (imposing forms and electronic systems) should be avoided while best practices are developed and proven. This independent assessment of data policy for ART may be useful in the further development of routine program monitoring and targeted evaluation of durable viral suppression.']",['eng'],"['Antiviral Agents/therapeutic use', 'Database Management Systems/standards', 'Developing Countries', 'Directly Observed Therapy/standards', 'HIV Infections/drug therapy', 'HIV Infections/virology', 'Health Policy', 'Health Services Accessibility/standards', 'Humans', 'Practice Guidelines as Topic', 'United Nations']",['Antiviral Agents']
